"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Lois Boisson","1","0.47","0.07","6.71","66.7","72.6","41.9","62.4","37.5","66.7"
"Ya Yi Yang","1","1.5","0.29","5.17","58.1","70.5","34.1","55.2","58.3","64.3"
"Serena Williams","64","0.94","0.21","4.48","63","78.3","52.2","68.6","61.2","86.5"
"Jacqueline Cako","5","0.73","0.17","4.29","61.7","67","35.3","54.8","60.9","65.4"
"Ekaterina Dzehalevich","3","0.46","0.13","3.54","59.6","73.7","50","64.1","56.5","74.4"
"Robin Anderson","4","0.35","0.1","3.5","56.4","67.9","46.9","58.8","48.5","66.7"
"Martina Di Giuseppe","6","0.51","0.15","3.4","57.6","69.7","43.1","58.4","51.1","67.6"
"Gergana Topalova","4","0.38","0.12","3.17","61.7","67.9","40","57.2","58.6","64.7"
"Michaela Honcova","3","0.19","0.06","3.17","68.3","59.2","38.4","52.6","65.9","54.8"
"Cornelia Lister","5","0.56","0.18","3.11","64.1","70.1","53.5","64.1","60","77.8"
"Lucija Ciric Bagaric","1","0.33","0.11","3","60","60.6","31.8","49.1","28.6","44.4"
"Emina Bektas","22","0.48","0.16","3","69.7","69.8","47.3","63","61.3","79"
"Katarina Srebotnik","1","0.21","0.07","3","75.7","71.4","50","66.2","0","78.6"
"Fangzhou Liu","5","0.35","0.12","2.92","66.3","57.4","39","51.2","51.2","51.2"
"Deniz Khazaniuk","2","0.14","0.05","2.8","75.9","55.1","58.8","56","38.5","63.6"
"Georgina Garcia Perez","11","0.84","0.3","2.8","61.1","71.4","39.6","59","60.2","69.7"
"Madison Keys","73","0.54","0.2","2.7","65.9","72.2","47.9","63.9","62.6","79.9"
"Naomi Osaka","34","0.55","0.21","2.62","59","70.8","47.7","61.3","57.6","77.3"
"Karolina Muchova","25","0.44","0.17","2.59","63.8","67.6","47.6","60.4","53.5","72"
"Joy De Zeeuw","1","0.45","0.18","2.5","72.3","70.2","61.1","67.7","75","90.9"
"Sofia Costoulas","1","0.5","0.2","2.5","65.6","61.9","36.4","53.1","33.3","60"
"Carly Gullickson","2","0.6","0.24","2.5","61.8","72.9","50","64.2","72.2","80"
"Sarah Gronert","4","0.82","0.33","2.48","56","75.2","45.7","62.2","68.2","78.8"
"Eva Vedder","4","0.64","0.26","2.46","57","72.3","44.8","60.5","72.2","76.2"
"Julie Coin","8","0.59","0.24","2.46","56.6","65.5","46.6","57.3","56.9","69"
"Galina Voskoboeva","7","0.41","0.17","2.41","60.5","68","47.4","59.9","52.9","73.9"
"Agnieszka Radwanska","71","0.24","0.1","2.4","69.4","66","49.3","60.9","62.9","76.1"
"Jessika Ponchet","24","0.57","0.24","2.38","58.8","70.7","41","58.5","59.6","71.2"
"Rebecca Marino","39","0.71","0.3","2.37","57.8","70.7","47.1","60.8","53.1","72.3"
"Nadia Petrova","25","0.52","0.22","2.36","60.1","70.1","49","61.7","57.1","76.4"
"Mirjam Bjorklund","6","0.21","0.09","2.33","68.2","60.3","43.5","55","57.4","61.3"
"Eva Guerrero Alvarez","1","0.7","0.3","2.33","65.5","71.1","65","69","33.3","80"
"Kristyna Pliskova","46","0.71","0.31","2.29","62.2","72","47.5","62.7","58.5","78.1"
"Karolina Pliskova","86","0.68","0.3","2.27","65.6","71.6","45.4","62.6","63.5","78.8"
"Mayar Sherif","8","0.42","0.19","2.21","73.2","65.3","38.6","58.2","61.1","69.2"
"Magdalena Rybarikova","68","0.42","0.19","2.21","60.8","68.7","46.4","60","61.2","73.9"
"Ons Jabeur","67","0.4","0.19","2.11","56.7","70.8","51.3","62.4","61","77.6"
"Pemra Ozgen","3","0.21","0.1","2.1","68.1","62.9","56.9","61","56.3","75.9"
"Anca Alexia Todoni","12","0.46","0.22","2.09","63.4","65.9","50.9","60.4","68.8","77.6"
"Veronika Kudermetova","57","0.5","0.24","2.08","61.4","70.6","45.3","60.8","59.2","74.4"
"Fernanda Contreras Gomez","7","0.33","0.16","2.06","53.1","70.9","47.8","60.1","52.4","70.1"
"Elena Rybakina","52","0.64","0.31","2.06","58.1","74.4","48.7","63.7","63.5","80.8"
"Maria Jose Martinez Sanchez","15","0.41","0.2","2.05","60","67","48","59.5","52.9","69.8"
"Akgul Amanmuradova","14","0.41","0.2","2.05","69","61.2","47.4","56.9","56.5","65"
"Dalma Galfi","28","0.49","0.24","2.04","64.6","67.3","50.9","61.5","61.1","76.1"
"Lola Radivojevic","2","0.58","0.29","2","57","67","42.5","56.5","66.7","62.5"
"Rebeka Masarova","24","0.56","0.28","2","64.1","71.3","49.5","63.4","61.6","78.5"
"Ashleigh Barty","47","0.58","0.29","2","61.3","74.7","49.8","65.1","63.2","82"
"Sally Peers","1","0.22","0.11","2","62.1","47.2","36.4","43.1","40","33.3"
"Marta Domachowska","2","0.36","0.18","2","69.4","64","45","58.2","69.2","71.4"
"Jennifer Brady","18","0.51","0.26","1.96","56.4","70.2","48.5","60.7","60.1","72.4"
"Naomi Broady","35","0.72","0.37","1.95","57.3","73","42.7","60.1","55.5","71.9"
"Svenja Weidemann","1","0.33","0.17","1.94","52.5","47.6","31.6","40","50","16.7"
"Caroline Garcia","71","0.54","0.28","1.93","62.1","69.6","48.8","61.7","62","77.5"
"Katrina Scott","2","0.25","0.13","1.92","61.2","65.6","43.9","57.1","42.9","66.7"
"Ekaterina Bychkova","3","0.61","0.32","1.91","51.8","64.3","36.4","50.9","69.2","57.1"
"Kayla Day","9","0.53","0.28","1.89","66.7","64.2","42.1","56.8","45.2","62.2"
"Clara Tauson","18","0.58","0.31","1.87","59.6","69.9","46.6","60.5","58","74.6"
"Ena Shibahara","10","0.43","0.23","1.87","64.2","69","45","60.4","61.1","70.9"
"Destanee Aiava","20","0.39","0.21","1.86","61.9","67.3","47.6","59.8","50","71.9"
"Dea Herdzelas","1","0.65","0.35","1.86","51.5","62.7","52.4","57.7","58.3","70.6"
"Coco Vandeweghe","82","0.67","0.36","1.86","55.5","74","51.4","64","55.6","79.9"
"Arantxa Parra Santonja","21","0.54","0.29","1.86","52.8","71","44.2","58.3","52.1","69.1"
"Abigail Spears","11","0.69","0.37","1.86","59.9","70.7","43.8","59.9","65.8","72.5"
"Priscilla Hon","31","0.47","0.26","1.81","62.5","67.6","46.5","59.7","60.1","72.8"
"Harmony Tan","16","0.27","0.15","1.8","60.7","64.9","46.8","57.8","59.7","68.4"
"Audrey Bergot","2","0.39","0.22","1.77","58.5","80","43.6","64.9","50","72.2"
"Taylor Townsend","19","0.37","0.21","1.76","66.2","63.1","48.7","58.2","57.1","68.4"
"Johanna Konta","73","0.44","0.25","1.76","65.7","69.1","48.7","62.1","61.7","78.6"
"Lucie Havlickova","1","0.7","0.4","1.75","66.7","72.5","20","55","33.3","60"
"Hina Inoue","2","0.67","0.39","1.72","60.8","73.7","32.7","57.6","64.7","66.7"
"Kaylah Mcphee","4","0.55","0.32","1.72","66.1","62.7","35.9","53.6","53.8","59.1"
"Linda Klimovicova","1","0.8","0.47","1.7","54.6","69.8","43.2","57.7","54.5","66.7"
"Anna Zaja","4","0.56","0.33","1.7","67.1","71.4","40.8","61.3","71.1","77.1"
"Caroline Wozniacki","77","0.27","0.16","1.69","71.1","67","48.3","61.6","58.9","75.2"
"Linda Noskova","21","0.57","0.34","1.68","62.6","72","46.5","62.5","59.9","77.5"
"Viktoria Hruncakova","28","0.57","0.34","1.68","59.4","70.5","49.3","61.9","61.3","76.8"
"Ivana Jorovic","6","0.48","0.29","1.66","60","62.3","45.6","55.6","56.7","62.3"
"Maria Kirilenko","30","0.33","0.2","1.65","69.4","65.5","50.6","60.9","55.2","73.7"
"Julia Goerges","42","0.56","0.34","1.65","59.8","71.8","46.9","61.8","64","77.9"
"Tatjana Maria","73","0.41","0.25","1.64","58.4","69.6","47.7","60.5","56.8","73.3"
"Lanlana Tararudee","5","0.29","0.18","1.61","61.7","67.4","50","60.7","58.6","75.5"
"Sophie Chang","3","0.45","0.28","1.61","64.6","63.1","41.8","55.6","50","58.6"
"Ekaterina Makarova","67","0.29","0.18","1.61","66.3","67.1","47.8","60.6","58.4","73.9"
"Alexandra Panova","4","0.59","0.37","1.59","61.3","68.6","48.8","61","72.5","77.6"
"Teliana Pereira","5","0.38","0.24","1.58","64.7","64.5","43.4","57","63.3","69"
"Lyudmyla Kichenok","5","0.52","0.33","1.58","62","74.4","52.5","66.1","61.9","86.2"
"An-Sophie Mestach","5","0.33","0.21","1.57","64.4","66.3","45.9","59","65.9","74.1"
"Yue Yuan","25","0.22","0.14","1.57","63.7","64.9","45.6","57.9","49.7","67.5"
"Tsvetana Pironkova","60","0.25","0.16","1.56","60.5","68.6","49.7","61.2","60.5","75.5"
"Alicia Molik","4","0.64","0.41","1.56","58.8","66","43","56.5","60.6","66.7"
"Carson Branstine","8","0.43","0.28","1.54","60.6","68","49.2","60.6","56.1","70.7"
"Ranah Akua Stoiber","6","0.29","0.19","1.53","54.3","63.7","43.1","54.3","58.1","60.8"
"Qiang Wang","16","0.23","0.15","1.53","63.5","63","47.3","57.3","62.9","68.9"
"Jocelyn Rae","4","0.76","0.5","1.52","57","67.7","32.7","52.6","54.3","52.9"
"Asia Muhammad","19","0.41","0.27","1.52","60.8","67.9","46.3","59.5","59.2","71.6"
"Yuliya Hatouka","4","0.51","0.34","1.5","64.3","59.3","48.9","55.6","56.8","61"
"Michaella Krajicek","15","0.63","0.42","1.5","60.6","70.5","44.7","60.3","54.4","74.4"
"Stefanie Voegele","34","0.31","0.21","1.48","60.7","66.2","43.4","57.2","54.7","67.7"
"Sabine Lisicki","70","0.65","0.44","1.48","57.2","72.7","44.7","60.7","61.2","75.5"
"Sonay Kartal","24","0.22","0.15","1.47","69.7","64.5","48.6","59.7","58.8","71.3"
"Daneika Borthwick","3","0.25","0.17","1.47","69.8","53.2","31.3","46.5","41.7","41.7"
"Ana Ivanovic","40","0.5","0.34","1.47","60.1","72","46.9","62","56.3","75.6"
"Ana Bogdan","35","0.25","0.17","1.47","64.7","65.3","51","60.2","62.7","74"
"Alison Van Uytvanck","60","0.35","0.24","1.46","63","66.9","45.3","58.9","58.7","71.1"
"Liudmila Samsonova","51","0.55","0.38","1.45","56.4","71.7","48.3","61.5","57.1","75.3"
"Miyu Kato","12","0.16","0.11","1.45","66.6","61.4","52.2","58.3","56.4","68.9"
"Gabriela Andrea Knutson","4","0.43","0.3","1.43","60.5","70.9","44.4","60.5","43.5","72.3"
"Diane Parry","27","0.43","0.3","1.43","58.2","71.4","49.3","62.2","62","74.3"
"Lucie Safarova","51","0.43","0.3","1.43","65.3","70","49","62.7","58.3","77.2"
"Ekaterina Alexandrova","57","0.61","0.43","1.42","59.3","72.5","46.4","61.9","60.5","76.9"
"Timea Babos","40","0.45","0.32","1.41","63.2","68.2","43.9","59.3","53.5","70.4"
"Natalie Grandin","4","0.31","0.22","1.41","64.8","55.6","45.5","52","47.9","56.9"
"Jarmila Wolfe","34","0.52","0.37","1.41","57.1","71.5","49.4","62","59.1","75.4"
"Alexa Glatch","7","0.48","0.34","1.41","58","64.4","44","55.9","52.5","61.6"
"Tereza Smitkova","21","0.49","0.35","1.4","56.9","70.6","48.1","60.9","61.1","75.5"
"Iga Swiatek","37","0.32","0.23","1.39","62.2","72.8","49.2","63.9","54.2","78.8"
"Kirsten Flipkens","90","0.32","0.23","1.39","62.9","67.3","47.7","60.1","55.1","73.6"
"Jamie Lee Hampton","13","0.32","0.23","1.39","59","65.1","51.1","59.4","56.3","71.4"
"Ekaterina Yashina","3","0.29","0.21","1.38","66.7","59.4","39.6","52.8","35.3","54.2"
"Andrea Hlavackova","42","0.4","0.29","1.38","64","67.4","49","60.8","58.2","73.7"
"Tathiana Garbin","3","0.26","0.19","1.37","65.7","66.1","40.4","57.2","56.5","63"
"Anett Kontaveit","38","0.38","0.28","1.36","63","68.2","47.6","60.6","59.3","73.6"
"Heather Watson","105","0.34","0.25","1.36","61.2","67","46","58.8","57.7","69.5"
"Karolina Sprem","9","0.57","0.42","1.36","57.1","74.1","45.5","61.8","54.4","77.2"
"Andrea Lazaro Garcia","3","0.23","0.17","1.35","64.2","69.6","36.4","57.7","51.9","62.9"
"Jesika Maleckova","2","0.27","0.2","1.35","56.1","55.2","36.8","47.1","67.9","40"
"Abbie Myers","1","0.31","0.23","1.35","68","62.7","54.2","60","37.5","61.5"
"Severine Beltrame","4","0.31","0.23","1.35","62.4","63","46.2","56.6","40","65.4"
"Petra Martic","55","0.42","0.31","1.35","60.9","68.8","49.4","61.2","58.8","75.7"
"Elitsa Kostova","6","0.27","0.2","1.35","64.7","61.7","46","56.1","47.4","64.3"
"Lucie Hradecka","13","0.51","0.38","1.34","54.8","71.5","47.6","60.7","52.9","73.2"
"Qinwen Zheng","15","0.6","0.45","1.33","52.6","74.8","41.3","58.9","57.8","70.8"
"Xinyu Gao","2","0.2","0.15","1.33","68.4","54.8","44.2","51.5","57.1","55"
"Erika Vogelsang","3","0.53","0.4","1.33","61.8","62.4","40.2","53.9","63.3","63.3"
"Venus Williams","53","0.4","0.3","1.33","63.2","70.9","48.4","62.6","59.5","77.3"
"Shuai Peng","34","0.24","0.18","1.33","66.7","65.5","50.8","60.6","62.5","74.4"
"Petra Kvitova","94","0.48","0.36","1.33","63.3","70.8","51.6","63.8","63.2","81.4"
"Karin Knapp","11","0.53","0.4","1.33","63","67.7","41.2","57.9","48.2","67.2"
"Heidi El Tabakh","1","0.4","0.3","1.33","57.1","52.8","40.7","47.6","25","40"
"Robin Montgomery","25","0.54","0.41","1.32","65.2","70.7","51.6","64.1","67.6","81.1"
"Cori Gauff","36","0.45","0.34","1.32","61.3","71.9","47.1","62.3","51.4","76"
"Kaja Juvan","26","0.29","0.22","1.32","62.2","66.5","51.9","60.9","54.3","73.8"
"Aryna Sabalenka","57","0.45","0.34","1.32","61.5","69.7","48.9","61.7","60.2","76.4"
"Vera Dushevina","19","0.29","0.22","1.32","67.1","61.9","49.1","57.7","57","70.1"
"Youlia Fedossova","2","0.46","0.35","1.31","47.6","70","50","59.5","55.6","69.2"
"Mandy Minella","22","0.26","0.2","1.3","64.2","62.1","45.7","56.3","53.3","65.2"
"Magdalena Frech","45","0.32","0.25","1.28","62.2","65.9","46.7","58.7","59.9","70.2"
"Naomi Cavaday","7","0.37","0.29","1.28","65.9","62.7","49.7","58.3","57.1","68.4"
"Jaimee Fourlis","13","0.14","0.11","1.27","74.5","60.8","51.4","58.4","54.2","66.9"
"Shelby Rogers","39","0.38","0.3","1.27","62.1","66.3","46.4","58.7","60.1","71.5"
"Maria Sakkari","52","0.39","0.31","1.26","58.8","68.4","48.4","60.2","59.1","73"
"Samantha Stosur","53","0.44","0.35","1.26","60","68.7","46.4","59.7","60.5","72.5"
"Marina Erakovic","43","0.4","0.32","1.25","65","69.3","46.6","61.3","62.6","75.4"
"Abigail Tere-Apisah","1","0.36","0.29","1.24","66.7","60.3","48.3","56.3","50","71.4"
"Jessica Ren","2","0.38","0.31","1.23","56.9","58.6","43.2","52","58.8","56.3"
"Garbine Muguruza","53","0.33","0.27","1.22","63.1","68.1","48.4","60.8","61.5","75.7"
"Maria Sanchez","11","0.33","0.27","1.22","66.4","67.3","45.6","60","55.4","73"
"Sarah van Emst","1","0.29","0.24","1.21","53.9","66.1","37.7","53","33.3","64.7"
"Daniela Seguel","2","0.35","0.29","1.21","54.1","63.9","36.1","51.1","52.9","52.9"
"Lulu Sun","20","0.36","0.3","1.2","59.7","68.9","49.6","61.1","60.1","75.4"
"Xiaodi You","2","0.24","0.2","1.2","59.7","63","37.1","52.6","47.6","56"
"Varvara Flink","8","0.24","0.2","1.2","64.6","63.7","47.6","58","63.6","68.9"
"Antonia Lottner","28","0.32","0.27","1.19","68.6","65.6","47.1","59.8","58","74.1"
"Justine Henin","9","0.43","0.36","1.19","60.5","77.1","51.5","67","60.5","83.3"
"Rosa Vicens Mas","4","0.39","0.33","1.18","62.7","53.2","35.7","46.7","41.2","39.4"
"Aleksandra Krunic","45","0.2","0.17","1.18","61","63.1","51.2","58.5","56.2","69.8"
"Roberta Vinci","48","0.26","0.22","1.18","60.7","67.1","47.9","59.6","58","72"
"Nastasja Schunk","7","0.27","0.23","1.17","68.7","65.3","51.4","61","57.8","73.2"
"Barbora Strycova","75","0.27","0.23","1.17","63.6","65.6","50.3","60","58.9","73.1"
"Aravane Rezai","17","0.48","0.41","1.17","60.3","69.5","45.9","60.1","56.2","71.7"
"Diana Shnaider","22","0.22","0.19","1.16","64.3","64.4","53.1","60.4","57.6","74.5"
"Cristiana Ferrando","3","0.43","0.37","1.16","57.3","66.7","45.9","57.8","47.6","63.3"
"Conny Perrin","15","0.37","0.32","1.16","61.8","65","45.7","57.6","59.2","68.4"
"Sloane Stephens","44","0.22","0.19","1.16","65.6","63.6","49.2","58.6","54.1","68.5"
"Amandine Hesse","6","0.51","0.44","1.16","51.3","64.6","39.4","52.3","46.9","55.9"
"Celine Naef","18","0.3","0.26","1.15","59.9","66.9","45.9","58.5","59.6","70.1"
"Chloe Paquet","13","0.46","0.4","1.15","56.5","66.2","49.6","59","59.6","69.4"
"Rosalie Van Der Hoek","2","0.47","0.41","1.15","50.4","73.8","32.8","53.5","69.6","58.8"
"Agnes Szavay","5","0.3","0.26","1.15","69","65.1","53","61.4","56.4","72.1"
"Kaia Kanepi","38","0.48","0.42","1.14","58.8","69.4","44","58.9","56.5","70.3"
"Jessica Moore","3","0.24","0.21","1.14","70.6","60.7","48.6","57.1","50","65.8"
"Jelena Jankovic","41","0.33","0.29","1.14","64.8","67.1","47","60","56.5","72.1"
"Talia Gibson","17","0.35","0.31","1.13","68.4","64.1","49.1","59.4","55.9","73.2"
"Magda Linette","54","0.34","0.3","1.13","61.8","66.2","47.3","59","60","72.1"
"Greta Arn","13","0.35","0.31","1.13","65","61.5","52.2","58.2","58.9","71.5"
"Bethanie Mattek-Sands","13","0.26","0.23","1.13","55.8","67.8","43.2","56.9","52.2","65.2"
"Julia Riera","5","0.41","0.37","1.11","60.9","59.3","41","52.2","47.4","56.5"
"Bernarda Pera","34","0.51","0.46","1.11","59.1","68.7","43.9","58.5","61","70.1"
"Jovana Jovic","5","0.39","0.35","1.11","56.9","67.4","46.7","58.5","52.6","64.7"
"Lindsay Lee-Waters","2","0.61","0.55","1.11","51.3","59.8","45.7","52.9","50","64.5"
"Amelie Mauresmo","6","0.61","0.55","1.11","57.9","69.3","52.6","62.3","57.9","77.5"
"Joanna Garland","7","0.23","0.21","1.1","66.8","64.5","48.7","59.3","55","74.6"
"Caroline Dolehide","30","0.32","0.29","1.1","66","62.4","49.3","57.9","53.2","68.6"
"Donna Vekic","90","0.43","0.39","1.1","58","71","47.6","61.2","55.6","75"
"Camilla Rosatello","2","0.57","0.52","1.1","43.8","102","50.8","73.2","50","65.2"
"Kayla Cross","2","0.48","0.44","1.09","57.5","69","45.9","59.2","64.7","76"
"Polina Kudermetova","8","0.48","0.44","1.09","58.9","68.7","38","56.1","59.4","63.6"
"Fanny Stollar","16","0.63","0.58","1.09","54.5","67.9","43.4","56.7","60.4","65.7"
"Shenay Perry","4","0.48","0.44","1.09","57.8","65.8","42.8","56.1","61","66.7"
"Amelia Rajecki","10","0.52","0.48","1.08","61.3","68.8","42.5","58.6","60","71.4"
"Alycia Parks","23","0.8","0.74","1.08","54.9","71.9","44.6","59.6","57","73.6"
"Ying-Ying Duan","14","0.26","0.24","1.08","71.6","66.1","47.3","60.7","62.2","75.8"
"Yaroslava Shvedova","41","0.39","0.36","1.08","62.2","67.5","46.6","59.6","54.5","71.8"
"Su Jeong Jang","7","0.32","0.3","1.07","66.1","71.2","52.5","64.9","50","66.7"
"Darja Semenistaja","8","0.18","0.17","1.06","56.2","63.2","44.6","55.1","60","63.2"
